V;P;dt
10.6;4.6259;1
9.1;3.7633;2
8.2;3.2558;3
10.5;4.0425;4
7.5;1.1095;5
4;0.5656;6
5.1;0.5597;7
4.4;0.9656;8
5.6;0.8441;9
5.1;1.0025;10
5.5;1.0283;11
5.4;0.7643;12
4.5;0.5056;13
4.1;0.5042;14
4.3;0.7907;15
5.3;0.9372;16
4.4;0.3894;17
3.7;0.6376;18
5.2;1.417;19
6.3;1.7833;20
7.1;2.2876;21
7.4;3.3033;22
7.9;4.0729;23
8.8;4.2603;24
7.1;1.786;25
6;3.3825;26
9;3.6524;27
8.2;3.7316;28
9;3.8676;29
7.7;2.5562;30
7.5;2.1707;31
7.6;1.7147;32
5.8;1.0982;33
4.6;1.5477;34
6.2;1.9952;35
7.1;2.6789;36
7.7;2.6539;37
6.9;1.5754;38
4.8;0.6725;39
5.2;1.1781;40
6.5;1.5596;41
6.3;3.4624;42
8.9;4.3712;43
8.4;3.1165;44
6.9;2.7628;45
9.7;3.8273;46
9.2;4.4623;47
9.2;3.1548;48
7.6;3.2749;49
7.5;2.0104;50
7.7;1.9272;51
4.9;0.6072;52
4.6;2.0077;53
5.2;1.0402;54
5.3;1.0098;55
5.9;1.7563;56
6.3;2.3245;57
6.5;1.6843;58
5.8;1.9767;59
6.8;2.6268;60
7.1;2.0909;61
6.9;2.1615;62
6.9;2.5469;63
6.8;1.9866;64
6.1;1.2672;65
5.3;1.3048;66
5.9;1.3015;67
5.8;1.8652;68
7.4;2.2922;69
7.7;2.1067;70
6.8;1.8031;71
7.1;1.6467;72
5.7;1.3226;73
6.3;1.0322;74
5.7;1.2137;75
4.3;0.4983;76
4.1;0.4759;77
4.1;0.2574;78
3.6;0.4125;79
4.2;1.0963;80
6.3;2.6519;81
7.8;1.8658;82
7;3.3871;83
8.2;2.5146;84
6.3;1.4824;85
6.1;2.4328;86
6.8;1.9714;87
6.8;1.7391;88
7.2;2.7766;89
8.2;3.4109;90
8.3;3.4452;91
8.1;3.7996;92
9;3.9257;93
8.5;4.1534;94
8;3.3772;95
8;2.807;96
7.3;2.4559;97
7.2;2.5337;98
6.9;1.7338;99
6;1.0415;100
5.5;0.5425;101
3.1;0.1676;102
3;0.1261;103
3.2;0.2501;104
3.4;0.1313;105
2.2;0;106
2.1;0;107
1.7;0.0033;108
2.3;0.0238;109
3.2;0.2086;110
4.1;0.2138;111
3.1;0.0482;112
3;0.0046;113
2.9;0.1861;114
4.2;0.2647;115
3.1;0.2706;116
2.7;0.0013;117
1.3;0;118
2.3;0.0805;119
2.7;0.1445;120
3;0.3544;121
4.2;0.4501;122
3.1;0.3201;123
3.2;0.1485;124
2.9;0.1373;125
2.6;0.0284;126
2.4;0;127
2.1;0;128
0.5;0;129
1.8;0;130
1.9;0;131
2.1;0;132
2.4;0.068;133
3;0.0317;134
2.7;0.0429;135
2.7;0.0125;136
3;0;137
1.8;0;138
1.3;0;139
1.4;0;140
1.6;0;141
1.4;0;142
1.6;0;143
1.5;0;144
1.4;0;145
1.4;0;146
1.3;0;147
2.1;0.0409;148
2.7;0.0356;149
3;0.2587;150
4.6;1.0586;151
6.2;1.9417;152
6.9;2.5542;153
7.3;2.6248;154
7.8;2.6169;155
7.8;2.7865;156
8;2.8591;157
7.5;2.836;158
6.8;2.4783;159
7.5;1.9358;160
5.8;1.1768;161
5.4;1.4177;162
6;1.151;163
4.8;0.5914;164
4.9;0.5161;165
3.5;0.4679;166
4;0.1558;167
2.4;0;168
2.1;0.0607;169
2.6;0.2376;170
3.2;0.0535;171
3.3;0.6752;172
5;0.5848;173
4.3;0.4963;174
5.2;0.4917;175
3.6;0.3637;176
3.5;0.095;177
3;0.0066;178
1.8;0;179
1.3;0;180
0.4;0;181
2.2;0;182
1.6;0;183
2.1;0;184
2.2;0.0046;185
2.5;0.0218;186
3.1;0.0937;187
3.3;0.7366;188
6.6;2.7001;189
8.1;3.6155;190
7.6;2.7515;191
8.2;3.5495;192
8.6;3.6406;193
8.4;2.6354;194
6.3;1.7695;195
6.4;2.178;196
7;0.8758;197
2.9;0.0231;198
2.4;0.2581;199
4.7;0.8237;200
6;1.1656;201
5.4;1.4025;202
6.3;1.3325;203
5.3;1.4751;204
5.9;0.953;205
4.6;0.7366;206
3.6;0.2171;207
3.4;0.2587;208
2.3;0;209
2.1;0;210
1.3;0;211
2.1;0.0647;212
3;0.0178;213
2.3;0;214
1.3;0;215
1.1;0;216
2;0;217
1.3;0;218
1.7;0.0277;219
3.1;0.0521;220
2.8;0.0528;221
3;0.0818;222
3.5;0.6904;223
5.3;1.9001;224
6.3;1.7345;225
6.2;2.0117;226
6.5;1.8427;227
7;1.8718;228
6.5;2.1318;229
7.1;1.815;230
6.4;1.5226;231
5.4;1.8044;232
5.6;0.7762;233
3.7;0.1102;234
2.5;0.0013;235
2.3;0;236
1.3;0.7267;237
3.3;0.2911;238
3.8;0.1729;239
2.8;0.0812;240
3.5;0.3043;241
3.4;0.5986;242
4.7;0.6851;243
3.9;0.1419;244
2.8;0.0073;245
1.3;0.0053;246
3;0.0026;247
0.8;0;248
1.9;0.0125;249
2.9;0.3478;250
4.7;2.083;251
7.4;2.3074;252
7.8;3.2941;253
7.5;2.8057;254
7.9;3.2142;255
7.5;2.0262;256
5.8;1.0817;257
4.7;0.7135;258
4.6;0.4653;259
3.7;0.268;260
3.7;0.2198;261
0;0.3161;262
3.8;0.3049;263
3.3;0.3901;264
3.5;0.2389;265
3.4;0.4389;266
4.6;0.4818;267
3.3;0.9319;268
2.2;0.0997;269
3.6;0.4501;270
3.5;0.4376;271
4.3;1.058;272
5.7;1.553;273
5.7;0.6923;274
3.6;0.299;275
3.2;0.5729;276
5;0.8006;277
4;0.3287;278
3.6;0.2996;279
3.7;0.3425;280
4.3;0.2072;281
2.2;0;282
1.7;0.1056;283
4;0.8382;284
5.7;1.0804;285
5.4;1.2005;286
5.3;2.1945;287
7.3;0.9412;288
5.2;1.6962;289
7.1;2.0955;290
5.3;0.5709;291
4.1;0.5999;292
5.1;0.9398;293
5.3;1.0019;294
5.3;0.8111;295
4.8;2.4743;296
7.9;5.3097;297
12.1;5.5328;298
11.6;5.5546;299
13.4;5.4067;300
10.2;4.8569;301
10;4.919;302
9.1;3.7508;303
8.4;3.2696;304
7.3;3.3198;305
8.2;3.2868;306
7.7;2.5014;307
7.6;2.5799;308
7.6;2.5964;309
5.9;1.4309;310
5.1;1.7662;311
8.1;3.0023;312
7.6;2.6598;313
6.9;2.0031;314
6.9;2.1859;315
6.9;1.7167;316
5.8;0.7656;317
3.9;0.3241;318
3.2;0.0429;319
2.8;0.0884;320
3.4;0.231;321
3.1;0.0667;322
3;0.0033;323
2.5;0;324
2.5;0.0053;325
2.3;0;326
1.5;0;327
1;0;328
0.8;0;329
1.1;0;330
1.8;0;331
2.4;0.0422;332
2.6;0.136;333
2.8;0.2072;334
3.3;0.0376;335
2.7;0.004;336
1.6;0;337
1.1;0;338
1.7;0.0158;339
2.9;0.0244;340
1.9;0;341
1.6;0;342
1.7;0;343
2.1;0;344
2.6;0.0429;345
3.3;0.0277;346
2.2;0.0944;347
2.5;0;348
2.3;0;349
1.7;0;350
1.8;0;351
2.2;0.002;352
2.7;0.0013;353
0.9;0;354
1.8;0;355
2.2;0.0033;356
2.7;0.0079;357
2.3;0.8534;358
3.5;0.427;359
4.8;0.7036;360
4.7;1.093;361
4.9;0.7894;362
5.5;0.7181;363
4.1;0.5544;364
3.8;1.0732;365
4.3;0.4521;366
4.2;0.5445;367
5.1;0.5465;368
3.9;0.2574;369
3.2;0.0647;370
2;0.1267;371
5;1.1154;372
5.1;0.5828;373
3.7;0.1498;374
2.9;0.0409;375
3;0.0614;376
2.8;0.002;377
1.5;0;378
1.5;0.0046;379
2.7;0.2132;380
3.9;0.7537;381
4.4;0.5075;382
4.3;0.6725;383
4.6;0.759;384
4;0.7742;385
5.4;0.7933;386
5.1;0.5135;387
3.6;0.6343;388
4.7;1.0303;389
5.9;1.751;390
4.8;1.1392;391
5.6;1.6256;392
5.4;1.5187;393
6.9;1.4487;394
5.3;0.8204;395
4.9;1.39;396
5.6;1.4942;397
5.1;0.8587;398
4.9;0.6409;399
3.9;0.5425;400
4.5;0.8164;401
