ds;dt;P;V
2019-01-01 00:00;1;4.6259;10.6
2019-01-01 01:00;2;3.7633;9.1
2019-01-01 02:00;3;3.2558;8.2
2019-01-01 03:00;4;4.0425;10.5
2019-01-01 04:00;5;1.1095;7.5
2019-01-01 05:00;6;0.5656;4
2019-01-01 06:00;7;0.5597;5.1
2019-01-01 07:00;8;0.9656;4.4
2019-01-01 08:00;9;0.8441;5.6
2019-01-01 09:00;10;1.0025;5.1
2019-01-01 10:00;11;1.0283;5.5
2019-01-01 11:00;12;0.7643;5.4
2019-01-01 12:00;13;0.5056;4.5
2019-01-01 13:00;14;0.5042;4.1
2019-01-01 14:00;15;0.7907;4.3
2019-01-01 15:00;16;0.9372;5.3
2019-01-01 16:00;17;0.3894;4.4
2019-01-01 17:00;18;0.6376;3.7
2019-01-01 18:00;19;1.417;5.2
2019-01-01 19:00;20;1.7833;6.3
2019-01-01 20:00;21;2.2876;7.1
2019-01-01 21:00;22;3.3033;7.4
2019-01-01 22:00;23;4.0729;7.9
2019-01-01 23:00;24;4.2603;8.8
2019-01-02 00:00;25;1.786;7.1
2019-01-02 01:00;26;3.3825;6
2019-01-02 02:00;27;3.6524;9
2019-01-02 03:00;28;3.7316;8.2
2019-01-02 04:00;29;3.8676;9
2019-01-02 05:00;30;2.5562;7.7
2019-01-02 06:00;31;2.1707;7.5
2019-01-02 07:00;32;1.7147;7.6
2019-01-02 08:00;33;1.0982;5.8
2019-01-02 09:00;34;1.5477;4.6
2019-01-02 10:00;35;1.9952;6.2
2019-01-02 11:00;36;2.6789;7.1
2019-01-02 12:00;37;2.6539;7.7
2019-01-02 13:00;38;1.5754;6.9
2019-01-02 14:00;39;0.6725;4.8
2019-01-02 15:00;40;1.1781;5.2
2019-01-02 16:00;41;1.5596;6.5
2019-01-02 17:00;42;3.4624;6.3
2019-01-02 18:00;43;4.3712;8.9
2019-01-02 19:00;44;3.1165;8.4
2019-01-02 20:00;45;2.7628;6.9
2019-01-02 21:00;46;3.8273;9.7
2019-01-02 22:00;47;4.4623;9.2
2019-01-02 23:00;48;3.1548;9.2
2019-01-03 00:00;49;3.2749;7.6
2019-01-03 01:00;50;2.0104;7.5
2019-01-03 02:00;51;1.9272;7.7
2019-01-03 03:00;52;0.6072;4.9
2019-01-03 04:00;53;2.0077;4.6
2019-01-03 05:00;54;1.0402;5.2
2019-01-03 06:00;55;1.0098;5.3
2019-01-03 07:00;56;1.7563;5.9
2019-01-03 08:00;57;2.3245;6.3
2019-01-03 09:00;58;1.6843;6.5
2019-01-03 10:00;59;1.9767;5.8
2019-01-03 11:00;60;2.6268;6.8
2019-01-03 12:00;61;2.0909;7.1
2019-01-03 13:00;62;2.1615;6.9
2019-01-03 14:00;63;2.5469;6.9
2019-01-03 15:00;64;1.9866;6.8
2019-01-03 16:00;65;1.2672;6.1
2019-01-03 17:00;66;1.3048;5.3
2019-01-03 18:00;67;1.3015;5.9
2019-01-03 19:00;68;1.8652;5.8
2019-01-03 20:00;69;2.2922;7.4
2019-01-03 21:00;70;2.1067;7.7
2019-01-03 22:00;71;1.8031;6.8
2019-01-03 23:00;72;1.6467;7.1
2019-01-04 00:00;73;1.3226;5.7
2019-01-04 01:00;74;1.0322;6.3
2019-01-04 02:00;75;1.2137;5.7
2019-01-04 03:00;76;0.4983;4.3
