i;P;dt
0;0;1
0;0;2
0;0;3
0;0;4
0;0;5
0;0;6
0;0;7
1;0;8
4;0.2310;9
16;1.1610;10
51;2.1970;11
90;2.7490;12
118;3.0770;13
102;3.2430;14
99;3.2260;15
86;2.7220;16
52;1.5240;17
21;0.3590;18
2;0;19
0;0;20
0;0;21
0;0;22
0;0;23
0;0;24
0;0;25
0;0;26
0;0;27
0;0;28
0;0;29
0;0;30
0;0;31
1;0;32
2;0.7980;33
33;2.0060;34
90;2.7740;35
141;3.4150;36
189;3.7100;37
190;3.7120;38
192;3.1500;39
151;2.2610;40
98;0.8940;41
39;0.1030;42
8;0;43
0;0;44
0;0;45
0;0;46
0;0;47
0;0;48
0;0;49
0;0;50
0;0;51
0;0;52
0;0;53
0;0;54
0;0;55
2;0;56
17;1.0550;57
167;2.3240;58
345;3.3040;59
493;3.8910;60
590;4.1530;61
621;4.1220;62
586;3.7990;63
489;3.1560;64
339;2.1400;65
151;0.6980;66
5;0;67
0;0;68
0;0;69
0;0;70
0;0;71
0;0;72
0;0;73
0;0;74
0;0;75
0;0;76
0;0;77
0;0;78
0;0;79
2;0;80
19;1.1440;81
170;2.3580;82
348;3.2740;83
495;3.7920;84
590;3.9850;85
621;3.9150;86
587;3.5880;87
490;2.9660;88
340;1.9930;89
150;0.6150;90
5;0;91
0;0;92
0;0;93
0;0;94
0;0;95
0;0;96
0;0;97
0;0;98
0;0;99
0;0;100
0;0;101
0;0;102
0;0;103
2;0;104
20;1.0040;105
172;2.0480;106
350;3.0950;107
499;3.7720;108
592;3.9610;109
626;3.6660;110
595;3.3770;111
468;2.5770;112
247;1.3040;113
118;0.4470;114
6;0;115
0;0;116
0;0;117
0;0;118
0;0;119
0;0;120
0;0;121
0;0;122
0;0;123
0;0;124
0;0;125
0;0;126
0;0;127
4;0;128
26;0.6120;129
82;1.4190;130
212;2.6800;131
273;3.2040;132
511;3.4220;133
228;2.9360;134
306;1.8950;135
123;0.6890;136
61;0.4120;137
43;0.0900;138
5;0;139
0;0;140
0;0;141
0;0;142
0;0;143
0;0;144
0;0;145
0;0;146
0;0;147
0;0;148
0;0;149
0;0;150
0;0;151
2;0;152
11;1.1780;153
169;2.3420;154
348;3.2240;155
496;3.7190;156
591;3.9290;157
623;3.8770;158
590;3.5580;159
496;2.9390;160
347;1.9680;161
156;0.6110;162
5;0;163
0;0;164
0;0;165
0;0;166
0;0;167
0;0;168
0;0;169
0;0;170
0;0;171
0;0;172
0;0;173
0;0;174
0;0;175
1;0;176
8;0.2090;177
85;0.7840;178
215;1.5140;179
319;2.1370;180
488;2.3080;181
515;1.9290;182
439;1.4390;183
384;0.9540;184
187;0.4530;185
62;0.0720;186
8;0;187
0;0;188
0;0;189
0;0;190
0;0;191
0;0;192
0;0;193
0;0;194
0;0;195
0;0;196
0;0;197
0;0;198
0;0;199
1;0;200
18;0.6220;201
159;1.6920;202
337;2.7320;203
462;3.3620;204
552;3.6070;205
571;3.3690;206
399;2.2740;207
307;1.1610;208
177;0.7050;209
57;0.1960;210
7;0;211
0;0;212
0;0;213
0;0;214
0;0;215
0;0;216
0;0;217
