ds;dt;y;i;T
2019-01-01 00:00;1;0;0;0.6
2019-01-01 01:00;2;0;0;-1
2019-01-01 02:00;3;0;0;-1.9
2019-01-01 03:00;4;0;0;-2.2
2019-01-01 04:00;5;0;0;-2.9
2019-01-01 05:00;6;0;0;-4.3
2019-01-01 06:00;7;0;0;-4.5
2019-01-01 07:00;8;0;1;-5.6
2019-01-01 08:00;9;0.231;4;-5.2
2019-01-01 09:00;10;1.161;16;-5.7
2019-01-01 10:00;11;2.197;51;-5.2
2019-01-01 11:00;12;2.749;90;-5.2
2019-01-01 12:00;13;3.077;118;-5
2019-01-01 13:00;14;3.243;102;-5
2019-01-01 14:00;15;3.226;99;-4.4
2019-01-01 15:00;16;2.722;86;-4.6
2019-01-01 16:00;17;1.524;52;-4
2019-01-01 17:00;18;0.359;21;-4.1
2019-01-01 18:00;19;0;2;-4.3
2019-01-01 19:00;20;0;0;-4.1
2019-01-01 20:00;21;0;0;-3.4
2019-01-01 21:00;22;0;0;-3.4
2019-01-01 22:00;23;0;0;-3.4
2019-01-01 23:00;24;0;0;-3.4
2019-01-02 00:00;25;0;0;-3.4
2019-01-02 01:00;26;0;0;-3.4
2019-01-02 02:00;27;0;0;-3.4
2019-01-02 03:00;28;0;0;-4.4
2019-01-02 04:00;29;0;0;-3.4
2019-01-02 05:00;30;0;0;-3.8
2019-01-02 06:00;31;0;0;-4
2019-01-02 07:00;32;0;1;-5.3
2019-01-02 08:00;33;0.798;2;-4.5
2019-01-02 09:00;34;2.006;33;-3.4
2019-01-02 10:00;35;2.774;90;-3.3
2019-01-02 11:00;36;3.415;141;-2.7
2019-01-02 12:00;37;3.71;189;-2.1
2019-01-02 13:00;38;3.712;190;-2.3
2019-01-02 14:00;39;3.15;192;-2.1
2019-01-02 15:00;40;2.261;151;-1.5
2019-01-02 16:00;41;0.894;98;-0.7
2019-01-02 17:00;42;0.103;39;-1.5
2019-01-02 18:00;43;0;8;-2.6
2019-01-02 19:00;44;0;0;-3.1
2019-01-02 20:00;45;0;0;-3.9
2019-01-02 21:00;46;0;0;-4.2
2019-01-02 22:00;47;0;0;-3.9
2019-01-02 23:00;48;0;0;-4.1
2019-01-03 00:00;49;0;0;-3.2
2019-01-03 01:00;50;0;0;-3.8
2019-01-03 02:00;51;0;0;-3.7
2019-01-03 03:00;52;0;0;-4.2
2019-01-03 04:00;53;0;0;-4.2
2019-01-03 05:00;54;0;0;-5.9
2019-01-03 06:00;55;0;0;-5
2019-01-03 07:00;56;0;2;-5.5
2019-01-03 08:00;57;1.055;17;-3.6
2019-01-03 09:00;58;2.324;167;-0.6
2019-01-03 10:00;59;3.304;345;1.9
2019-01-03 11:00;60;3.891;493;4
2019-01-03 12:00;61;4.153;590;7.9
2019-01-03 13:00;62;4.122;621;9.1
2019-01-03 14:00;63;3.799;586;9.8
2019-01-03 15:00;64;3.156;489;9.7
2019-01-03 16:00;65;2.14;339;9.2
2019-01-03 17:00;66;0.698;151;7.1
2019-01-03 18:00;67;0;5;5.1
2019-01-03 19:00;68;0;0;2.9
2019-01-03 20:00;69;0;0;0.4
2019-01-03 21:00;70;0;0;-0.1
2019-01-03 22:00;71;0;0;-1.1
2019-01-03 23:00;72;0;0;-1.5
2019-01-04 00:00;73;0;0;-2.1
2019-01-04 01:00;74;0;0;-4.1
2019-01-04 02:00;75;0;0;-4
2019-01-04 03:00;76;0;0;-4
2019-01-04 04:00;77;0;0;-3.6
2019-01-04 05:00;78;0;0;-3.5
2019-01-04 06:00;79;0;0;-4.7
2019-01-04 07:00;80;0;2;-4.7
2019-01-04 08:00;81;1.144;19;-1.2
2019-01-04 09:00;82;2.358;170;1.5
2019-01-04 10:00;83;3.274;348;3.8
2019-01-04 11:00;84;3.792;495;6.4
2019-01-04 12:00;85;3.985;590;8.8
2019-01-04 13:00;86;3.915;621;10.8
2019-01-04 14:00;87;3.588;587;12.5
2019-01-04 15:00;88;2.966;490;14.1
2019-01-04 16:00;89;1.993;340;13.3
2019-01-04 17:00;90;0.615;150;10.9
2019-01-04 18:00;91;0;5;7.9
2019-01-04 19:00;92;0;0;4.3
2019-01-04 20:00;93;0;0;3.8
2019-01-04 21:00;94;0;0;2.3
2019-01-04 22:00;95;0;0;2.1
2019-01-04 23:00;96;0;0;1.6
2019-01-05 00:00;97;0;0;1.2
2019-01-05 01:00;98;0;0;1
2019-01-05 02:00;99;0;0;1
2019-01-05 03:00;100;0;0;-0.3
2019-01-05 04:00;101;0;0;-1
2019-01-05 05:00;102;0;0;-0.8
2019-01-05 06:00;103;0;0;-1.8
2019-01-05 07:00;104;0;2;-2.4
2019-01-05 08:00;105;1.004;20;1
2019-01-05 09:00;106;2.048;172;3.2
2019-01-05 10:00;107;3.095;350;6.4
2019-01-05 11:00;108;3.772;499;9
2019-01-05 12:00;109;3.961;592;11.3
2019-01-05 13:00;110;3.666;626;13.3
2019-01-05 14:00;111;3.377;595;15
2019-01-05 15:00;112;2.577;468;15.3
2019-01-05 16:00;113;1.304;247;16
2019-01-05 17:00;114;0.447;118;12.7
2019-01-05 18:00;115;0;6;10.5
2019-01-05 19:00;116;0;0;8.9
2019-01-05 20:00;117;0;0;7.2
2019-01-05 21:00;118;0;0;5.6
2019-01-05 22:00;119;0;0;3.6
2019-01-05 23:00;120;0;0;3.9
2019-01-06 00:00;121;0;0;5.3
2019-01-06 01:00;122;0;0;4.5
2019-01-06 02:00;123;0;0;3.7
2019-01-06 03:00;124;0;0;4.7
